# ephemeris of pulsar and radio source
# source name is the name of epoch J2000
# Source name   Ra              Dec               Epoch
  3c48          01:37:41.27       33:09:35.7      J2000
  3c84          03:19:48.16       41:30:42.1      J2000
  3c123         04:37:04.17       29:40:15.1      J2000
  3c144         05:34:32.00       22:00:58.00     J2000
  3c147         05:42:36.14       49:51:07.2      J2000
  DA193         05:55:30.8056     39:48:49.165    J2000
  3c273B        12:29:06.70       02:03:08.60     J2000
  3c274         12:30:49.42       12:23:28.0      J2000
  3c295         14:11:20.65       52:12:09.1      J2000
  3c348         16:51:08.20       04:59:33.0      J2000
  3c380         18:29:31.72       48:44:47.0      J2000
  3c405         19:59:28.4        40:44:02.0      J2000
  3c461         23:23:24.8        58:48:59.0      J2000
  3c286         13:31:08.288      30:30:32.96     J2000
  3c138         05:21:09.886      16:38:22.05     J2000
  orion	        05:35:16.47 	 -05:23:22.84	  J2000
  1830-210      18:33:39.915     -21:03:40.050    J2000
  0208-512      02:10:46.2       -51:01:01.9      J2000
  1921-293      19:24:51.055957  -29:14:30.12115  J2000
  NGC7027       21:07:01.59       42:14:10.186    J2000
  0102+5824     01:02:45.7623     58:24:11.136    J2000
  0108+0135     01:08:38.771      01:35:00.317    J2000
  0359+5057     03:59:29.7472     50:57:50.161    J2000
  0824+3916     08:34:54.9041     55:34:21.070    J2000
  0854+2006     08:54:48.8749     20:06:30.640    J2000
  0927+3902     09:27:03.0139     39:02:20.851    J2000
  1058+0133     10:58:29.6052     01:33:58.823    J2000
  1613+3412     16:13:41.0642     34:12:47.909    J2000
  1635+3808     16:35:15.4929     38:08:04.500    J2000
  1642+3948     16:42:58.8099     39:48:36.993    J2000
  1800+7828     18:00:45.6839     78:28:04.018    J2000
  1927+7358     19:27:48.4951     73:58:01.569    J2000
  2022+6136     20:22:06.6816     61:36:58.804    J2000
  2025+3343     20:25:10.8420     33:43:00.214    J2000
  2038+5119     20:38:37.0347     51:19:12.662    J2000
  2136+0041     21:36:38.5863     00:41:54.213    J2000
  2253+1608     22:53:57.7479     16:08:53.560    J2000
  0521-36       05:22:58.0       -36:27:31.0      J2000
  3c145         05:35:16.4       -05:32:23.0      J2000
  3c161         06:27:10.1       -05:53:05.0      J2000
  3c218         09:18:05.7       -12:05:44.0      J2000
  3c279         12:56:11.1       -05:47:22.0      J2000
  3c345         16:51:08.1        04:59:33.0      J2000
  3C353         17:20:28.1       -00:58:47.0      J2000
  DR21          20:39:01.1        42:19:43.0      J2000
  NRAO530       17:33:02.7       -13:04:50.0      J2000
  2145+067      21:48:05.4586     06:57:38.604    J2000
  4c39.23       08:24:55.483      39:16:41.91     J2000 
