# pulsar catalogue
# name       Ra                  Dec                epoch     duration
0034-0721    00:34:08.8703       -07:21:53.409      2000.0    48
0139+5814    01:39:19.7401       +58:14:31.819      2000.0    48
0332+5434    03:32:59.368        +54:34:43.57       2000.0    48
0358+5413    03:58:53.7165       +54:13:13.727      2000.0    48
0437-4715    04:37:15.8833       -47:15:09.0319     2000.0    48
0452-1759    04:52:34.1057       -17:59:23.371      2000.0    48
0454+5543    04:54:07.7506       +55:43:41.437      2000.0    48
0534+2200    05:34:31.973        +22:00:52.06       2000.0    48
0614+2229    06:14:17.16         +22:30:36          2000.0    48
0630-2834    06:30:49.4044       -28:34:42.7788     2000.0    48
0738-4042    07:38:32.329        -40:42:40.94       2000.0    48
0742-2822    07:42:49.058        -28:22:43.76       2000.0    48
0814+7429    08:14:59.50         +74:29:05.70       2000.0    48
0835-4510    08:35:20.6115       -45:10:34.8751     2000.0    48
0837-4135    08:37:21.1818       -41:35:14.37       2000.0    48
0922+0638    09:22:14.0          +06:38:23.30       2000.0    48
0953+0755    09:53:09.3097       +07:55:35.75       2000.0    48
1136+1551    11:36:03.2477       +15:51:04.48       2000.0    48
1239+2453    12:39:40.4614       +24:53:49.29       2000.0    48
1559-4438    15:59:41.5261       -44:38:45.9018     2000.0    24
1600-5044    16:00:53.031        -50:44:20.96       2000.0    24
1622-4950    16:22:44.80         -49:50:54.4        2000.0    48
1644-4559    16:44:49.281        -45:59:09.5        2000.0    24
1645-0317    16:45:02.0414       -03:17:58.32       2000.0    48
1713+0747    17:13:49.5305       +07:47:37.5264     2000.0    48
1731-4744    17:31:42.103        -47:44:34.56       2000.0    48
1740-3015    17:40:33.82         -30:15:43.5        2000.0    48
1741-3927    17:41:18.081        -39:27:38.0        2000.0    48
1744-1134    17:44:29.4032       -11:34:54.661      2000.0    48
1807-0847    18:07:38.0274       -08:47:43.27       2000.0    48
1809-1943    18:09:51.08696      -19:43:51.9315     2000.0    48
1823-3106    18:23:46.7883       -31:06:49.75       2000.0    48
1824-1945    18:24:00.4555       -19:45:51.7        2000.0    48
1828-1101    18:28:18.849        -11:01:50.9        2000.0    48
1829-1751    18:29:43.137        -17:51:03.9        2000.0    48
1832-0827    18:32:37.0200       -08:27:03.64       2000.0    48
1857+0943    18:57:36.390605     +09:43:17.20714    2000.0    48
1909-3744    19:09:47.4346749    -37:44:14.46674    2000.0    48
1932+1059    19:32:13.9497       +10:59:32.420      2000.0    48
1935+1616    19:35:47.8259       +16:16:39.986      2000.0    48
1939+2134    19:39:38.5587       +21:34:59.1375     2000.0    48
1941-2602    19:41:00.4070       -26:02:05.75       2000.0    48
2018+2839    20:18:03.8333       +28:39:54.212      2000.0    48
2022+5154    20:22:49.8730       +51:54:50.233      2000.0    48
2022+2854    20:22:37.0671       +28:54:23.104      2000.0    48
2048-1616    20:48:35.6406       -16:16:44.5535     2000.0    48
2055+3630    20:55:31.3521       +36:30:21.469      2000.0    48
2145-0750    21:45:50.46148      -07:50:18.4759     2000.0    48
2157+4017    21:57:01.8495       +40:17:45.986      2000.0    48
2313+4253    23:13:08.6209       +42:53:13.043      2000.0    48
2330-2005    23:30:26.885        -20:05:29.63       2000.0    48
